" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
اقا من چند روزی میشه این گوشی رو گرفتم هرکسی تو فروشگاه این گوشی رو ببینه مجذوب ظاهر قشنگش میشه با رنگ های متنوع از این لحاظ خوبه، صفحه نمایش خوبی داره اینترنت ۴٫۵ جی رو ساپورت میکنه و همچنین otg. دوربین در جلو و عقب کیفیت خوبی داره، چیزی که بعد چند روز استفاده تو ذوق ادم میزنه اینه باطریش جوابگو این cpu و صفحه نمایش نیست و اگر استفادتون زیاده. از گوشی مجبورید روزی شاید دوبار شارژ کنید البته چون ظرفیت باطریش زیاد نیست و فست شارژ داره خیلی زود هم شارژ میشه، یکی دیگه از معایبش نداشتن سوکت ۳٫۵ هست که شمارومجبور به استفاده از تنها هنذفری خودش میکنه و اینکه در زمان شارژ نمیتونید با هنذفری موزیک گوش بدین، صدای پخش اسپیکرش زیاد و قابل قبوله ولی به نظر من کیفیت و وضوح خوبی نداره در زمان استفاده از بازی مقداری داغ میشه بدنه گوشی ولی خب طبیعیه در اکثر گوشی ها. سیمکارت نانو دوعدد بهش میخوره ولی سیم دو با رم هیبریدیه البته با حافظه ۶۴ گیگ دیگه به رم نیاز ندارید، اینم بگم به نظرم جای دکمه کم و زیاد کردن ولوم رو که در سمت راست گوشی قسمت بالایی تعبیه کردن زیاد راحت نیست جاش، بعضی برنامه های مورد نیاز رو گوشی من نداشت مثل مدیریت فایل و گالری که خودم نصب کردم یه ایراد دیگه ای که من بهش برخوردم اینه نمیشه از کدهای ussd استفاده کرد و تا میای عملیات رو کامل کنی ارور میده عجیبه این در ضمن اندرویدش فعلا ۶ هست و تا الان به اندروید ۷ یا ۸ اپدیت نشده در مورد رجیستری هم خدمت دوستان بگم فعلا شامل اچ تی سی نمیشه و شما وقتی روشن کنید و سیمکارت بندازید کار تمومه و فعال شده، در مورد صدای مکالمه هم خوبه موردی نداره، کیبوردش بعضی حروف رو مثل ژ نداشت که من یه کیبورد دیگه نصب کردم ,"دکمه کم و زیاد کردن ولوم, کیفیت و وضوح, باطریش","negative, negative, negative","['ظ ...' : Positive', 'صفحه نمایش: Positive', ' 인터نی: Positive', ' analyte: Positive', 'باتری: Negative', 'هن ...' : Negative', 'اسپ ...' : Positive', ' بدنه: Negative', 'سیم کارت: Positive', 'رم: Positive', 'دکمه: Negative', 'لوم: Negative', 'برنامه ها: Negative', 'رjeeling: Negative', 'کیبورد: Negative']"
اقا واقعا گوشه عالیه من که خیلی ازش راضیم الانم دو سه ماهه دارمش ,گوشه,positive,['گوشه: Positive']
اقا چرا تعصبی رو یه برند نظر میدیداچ تی سی رابط کاربری فوق العاده کیفیت ساخت عالی بلندگوهای عالی ولی متاسفانه دیگه بوم ساند نیستند تو این مدل دوربین خوب باطری متوسط اینکه اچ تی سی گوشیهای خوبی داره شکی نیست ولی بعد از ام ۷ دیگه اچ تی سی اون کمپانی سابق نشد و داره ضرر میده شایدم به سرنوشت نوکیا دچار بشه بعدشم بعید میدونم تو این نسل فروش خوبی داشته باشه دربرابر طراحیای ماژولار ال جی دوربین و قدرت گوشیهای سامسونگ گوشیهای اپل و قیمتای رقابتی هواوی کسب سهم مناسب برای اچ تی سی سخته با اینکه پرچمدار جدیدش کیفیت ساخت بالایی داره اما بهترین نیست من مقایسه سرعت این گوشی با ال جی جی ۵ و اس ۷ اج دیدم تو یکی از سایتای ایرانی اصلا نتونست با اون ۲ تا رقابت کنه و کم اورد در کل انتخاب خوبیه اچ تی سی ولی بهتریننیست ,باطری,neutral,"['برند: Positive', ' Design: Positive', '品質 ساخت: Positive', 'گودهای صدا: Positive', ' دوربین: Positive', 'باتری: Negative', 'شرکت: Negative', 'سرعت: Negative']"
الان بعد یه مدت که زدم یه جورایی معتاد بویش شدم و همیشه دوست دارم از همین ادکلنم استفاده کنم! پخش بوی متوسطی داره ولی خودت واقعا لذت میبری ,پخش بوی,neutral,"['ادکل: Positive', 'پخش بوی: Moderate', 'لطف: Positive']"
الان به دستم رسید سشوار بامزه ایه اما از چیزی ک فکر میکنید خیلی کوچیک تره قدرت ش متوسطه به نطر من ب درد خشک کردن موهای بچه یا موی کم کاربرد داره زیاد هم نمیشه ازش کار کشید قیمتشم ب نظر من اگه تو شگفت انگیز بخیرید بیشتر میصرفه اما بازم ممنونم از دیجی کالا ب موقع رسید ,قدرت ش,neutral,"['크یکت: Negative', 'قدرت: Negative', 'نمایی مو: Negative', 'قیمت: Positive']"
الان به دستم رسید ممنون از دیجی کالا با این سرعت پردازشش لازم بگم که من خیلی وقت بود برای دویدن صبحگاهیم نیاز به یه هدفون خوب داشتم و فکر نکنم بیشتر از من دنبال هدفون گشته باشید بعد کلی کلنجار این هدفون رو خریدم از دیجی واقعا عالیه حتما پیشنهاد میکنم ,"این هدفون, دیجی کالا","positive, positive","['هدفون: Positive', 'کلنجار: Negative', 'ر س speed of processing: Positive']"
الان تو بالاترین قیمت خودشه صبر کنین یکی دو ماه دیگه میاد پایین بخرین ,قیمت,negative,['قیمت: Negative']
الان دارم این نقد رو با xa ultra مینویسم خیلی بابت باتری نگران بودم اما با آپدیت اندروید این مشکل تا حدی حل شد یعنی اگر شما کسی هستید که بازی سنگین نمی کنید این گوشی بهترین انتخابه. در خصوص تاچ گوشی که شنیده بودم ضعیفه باید بگم اصلا اینطور نیس و خیالتون راحت باشه فقط باتری ضعیفه که اونم با کمی مراعات درست میشه در کل من واقعا راضیم. ,"تاچ, گوشی, باتری","positive, positive, negative","['باتری: Negative', ' تاچ: Neutral', ' Xia Ultra: Positive']"
الان دو روزه که من این لپ تاپ رو خریدم و میتونم بگم که خیلی لپ تاپ قوی و خوشگلیه! تنها چیزی که به نظرم میتونست بهتر باشه صفحه نمایشش بود که کیفیت متوسطی داره و برای من که زیاد فیلم و سریال نگاه میکنم مناسب نبود! به غیر از صفحه نمایش در هیچ چیز دیگهای مشکلی ندیدم و راضی بودم مخصوصا هارد دو ترابایتیش که یکی از دلایلی بود که من این لپ تاپ رو خریدم چون معمولا برای ذخیره فیلم و بازی دچار مشکل میشدم که این لپ تاپ خیال منو راحت کرد تا حالا بازی هایی مثل dota۲ و cs go رو نصب کردم و به راحتی بازی کردم و مشکل لگ نداشتم بازی call of duty رو هم نصب کردم و رو تنظیمات بالا بازی کردم و مشکلی ندیدم … در کل از پردازنده و گرافیک این لپ تاپ خیلی راضیم! کسایی که میخوان این لپ تاپ رو بگیرن پشیمون نمیشن البته در این بازه قیمتی میتونین لپ تاپ acer ۵۷۴g رو هم یه نگاهی بندازین که اون هم لپ تاپ خوبیه اون دوست عزیزی که در وصل شدن با وای فای مشکل داشتن بدونن که اون کادری که شما اول میبینین برای وارد کردن رمز نیست بلکه برای وارد کردن شماره مودمه! باید گزینه زیر اون کادر رو بزنین و بعدش یه کادر دیگه میاد و اونجا رمز وای فای رو وارد کنین با تشکر ,صفحه نمایشش,neutral,"['پردازنده: Positive', 'گرافیک: Positive', 'صفحه نمایش: Negative', 'هارد: Positive']"
الان دو ماه و نیم که این گوشی رو دارم همه چیزش عالیه. حتی سنگین ترین بازی ها رو هم میتونین روش اجرا کنین حافظه ش هم با یک میکرو اس دی تامین میشه دوربین فوق العاده ای داره صفحه نمایش با کیفیت و از همه مهم تر ظرفیت بالای باتری و اندروید نوقا که به زودی اپدیت میشه … ,"صفحه نمایش, باتری, حافظه, گوشی, دوربین","positive, positive, neutral, positive, positive","['باتری: Negative', 'صفحه نمایش: Positive', 'حافظه: Positive', 'ensity بازی: Positive', 'دوربین: Positive']"
الان سه ماهه این هندزفری رو دارم و روی گوشی اندروید امتحان کردم واقعا فوق العاده کار می کنه سریع وصل میشه توی گوش راحته مدت زیادی با یک بار شارژ کار می کنه و کیفیت صدای خوبی داره من این هندزفری رو توی ویژه خریدم واقعا توی این رنج هیچی به پاش نمیرسه ,این هندزفری,positive,"['هنزفری: Positive', 'سرعت: Positive', 'باتری: Negative', '品質 صدا: Positive']"
