sentence,aspect,polarity,LLM_aspect
الان دو روزه که من این لپ تاپ رو خریدم و میتونم بگم که خیلی لپ تاپ قوی و خوشگلیه! تنها چیزی که به نظرم میتونست بهتر باشه صفحه نمایشش بود که کیفیت متوسطی داره و برای من که زیاد فیلم و سریال نگاه میکنم مناسب نبود! به غیر از صفحه نمایش در هیچ چیز دیگهای مشکلی ندیدم و راضی بودم مخصوصا هارد دو ترابایتیش که یکی از دلایلی بود که من این لپ تاپ رو خریدم چون معمولا برای ذخیره فیلم و بازی دچار مشکل میشدم که این لپ تاپ خیال منو راحت کرد تا حالا بازی هایی مثل dota۲ و cs go رو نصب کردم و به راحتی بازی کردم و مشکل لگ نداشتم بازی call of duty رو هم نصب کردم و رو تنظیمات بالا بازی کردم و مشکلی ندیدم … در کل از پردازنده و گرافیک این لپ تاپ خیلی راضیم! کسایی که میخوان این لپ تاپ رو بگیرن پشیمون نمیشن البته در این بازه قیمتی میتونین لپ تاپ acer ۵۷۴g رو هم یه نگاهی بندازین که اون هم لپ تاپ خوبیه اون دوست عزیزی که در وصل شدن با وای فای مشکل داشتن بدونن که اون کادری که شما اول میبینین برای وارد کردن رمز نیست بلکه برای وارد کردن شماره مودمه! باید گزینه زیر اون کادر رو بزنین و بعدش یه کادر دیگه میاد و اونجا رمز وای فای رو وارد کنین با تشکر ,صفحه نمایشش,neutral,"لپ تاپ قوی و خوشگلیه!: Positive
صفحه نمایش: Negative (quality is average, not suitable for the reviewer)
هارد دو ترابایتی: Positive (hard drive of 2 terabytes was a major reason for buying this laptop)
پردازنده: Positive
گرافیک: Positive

Note: The sentiment analysis only considers the aspects mentioned in the review, and does not include other potential aspects that might be relevant to the product."
الان دو ماه و نیم که این گوشی رو دارم همه چیزش عالیه. حتی سنگین ترین بازی ها رو هم میتونین روش اجرا کنین حافظه ش هم با یک میکرو اس دی تامین میشه دوربین فوق العاده ای داره صفحه نمایش با کیفیت و از همه مهم تر ظرفیت بالای باتری و اندروید نوقا که به زودی اپدیت میشه … ,"صفحه نمایش, باتری, حافظه, گوشی, دوربین","positive, positive, neutral, positive, positive","['گوشی: Positive', 'حافظه: Positive', 'دوربین: Positive', 'صفحه نمایش: Positive', 'ظرفیت بالای باتری: Positive']"
الان سه ماهه این هندزفری رو دارم و روی گوشی اندروید امتحان کردم واقعا فوق العاده کار می کنه سریع وصل میشه توی گوش راحته مدت زیادی با یک بار شارژ کار می کنه و کیفیت صدای خوبی داره من این هندزفری رو توی ویژه خریدم واقعا توی این رنج هیچی به پاش نمیرسه ,این هندزفری,positive,"['هندزفری: Positive', 'قبل از شارژ: Positive', 'قیمت: Neutral']"
الان نزدیک به ۵ ماهه گوشی رو خریدم. از همه نظر عالیه و حتما پیشنهاد میکنم بخرید. فقط دوربین مقداری ضعیف و به قولی تجاری هست که اونم با توجه به قیمت اصلا مشکلی نیست. در کل بخرین و حالشو ببرین. پیشنهاد میکنم یه آیفون ۶ هم در کنارش داشته باشین تا هر وقت با ایفون اشتباه گرفتنش ضایع نشین و بگین البته ایفون ۶ هم دارم. ,دوربین,negative,"['گوشی: Positive', 'دوربین: Positive', 'قیمت: Neutral', 'ایفون ۶: Neutral']"
الان که به نصف کتاب رسیدم فقط می تونم بگم فوق العاده هست. حتما بخونید این داستان رو. ,کتاب,positive,[کتاب: Positive]
الان گوشی رسید. همه چیش عالیه. فقط دوربینش ضعیفه …آرایش چهره اصلا نداره.. دوربین سلفی ضعیف ,"دوربینش, دوربین سلفی","negative, negative","['گوشی: Positive', 'دوربین: Positive', 'باتری: Negative']"
الان یه هفته ای میشه خریدمش و بسیار گوشی خوبی هست گوشی پر توانی هست و برای عاشق های بازی خوبه از دوربینش هم هرچی گفتم کم گفتم بهتون پیشنهاد میکنم بخریدش ,"دوربینش, گوشی","positive, positive","['گوشی پر توانی: Positive', 'دوربینش: Positive', 'قیمت: Neutral']"
الان یک ماه میشه که بعد از تحقیقات فراوان برای خرید هندزفری یا هدست خوب. در نهایت این محصول رو از دی جی کالا تهیه کردم. کیفیت صداش و اینکه در بالاترین سطح صداو هیچ نویزی به بیرون درز نمیده اولش شگفت زده م کرد و بعدش باتریش که بعد از مسافرت دو روزه که کلا اهنگ گوش دادمو تازه مدیوم بود. ,"باتریش, کیفیت صداش, این محصول","positive, positive, positive","[' هندزفری/هدست: Positive', 'کیفیت صداش: Positive', 'باتری: Positive']"
الان ۵ ماهه خریدم واقعا خوبه، حسگر اثر انگشتش خیلی خوبه، اگه رم ۴ داشت عالی میشد، تو این رنج قیمت گوشی عالی هست مخصوصا که ضد آب هم هست، باطری عالی داره از ۹ صبح تا ۷ شب تقریبا ۳۵ درصد از شارژش میمونه با مصرف زیاد که اصلا احتیاج به بردن پاور بانک و شارژر ندارم، فقط از وقتی اندرید را به نسخه ۷ ارتقا دادم بعضی وقتا خیلی به ندرت هنگ میکنه که باید ریستارت کنم ولی در کل خیلی راضی هستم از خریدش دوربین جلو خوبی نداره ولی دوربین اصلیش عالیه فقط عیبش اینه لرزشگیر نداره که باید مراقب باشید دست نلرزه موقع عکاسی ,"دوربین اصلیش, باطری, دوربین جلو, حسگر اثر انگشتش, گوشی","positive, positive, negative, positive, positive","['سنسور اثر انگشت: Positive', ' رم ۴: Neutral', 'قیمت: Positive', 'ضدآب بودن: Positive', 'باطری: Positive', 'شارژ ساعتی: Positive', 'اندرید ارتقا: Neutral', 'هنگ کردن اندرید: Negative', 'دوربین جلو: Negative', 'دوربین اصلی: Positive']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی Y۶llحتی هم نمیرسه گوشی هواوی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,هواوی Y۶llحتی,positive,"['جی: Negative', 'مارک تو: Negative', 'گوشی هواوی: Positive', 'ارزش: Negative']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی هم نمیرسه گوشی هواوی Y۶ll حتی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,گوشی هواوی Y۶ll,positive,"['جی: Negative', 'مارک: Negative', 'قیمت: Negative', 'هواوی Y۶ll: Positive']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی هم نمیرسه گوشی هواوی Y۶llحتی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,"الجی, این گوشی, هواوی","negative, negative, positive","'جی: Negative', 'مارک تو: Negative', 'گوشی هواوی Y۶: Positive', 'پول: Negative'"
الجی گوشی خوبی نیس اکثرا لگ داره هنگ میکنه چون پردازندش اسنپ دراگون هستش این گوشی با این قیمت ارزش نداره الجی بدترین مارک تو گوشی هستش. ,"الجی, پردازندش, الجی","negative, negative, negative","['جی: Negative', 'پردازندش: Negative']"
الجی یه چیزه دیگس فقط باید بلد باشی استفاده کنی. در جواب دوستمون که بحث سی پی یو کردن اینکه جدید ترین نسخه رو نصب کردن افتخار نیست سخت افزار مناسب طراحی کردن برای ساختمان سی پی یو و خروجی خالص تو هر رده مهمه. در مورد دوست دیگه که گفته بود پرچمدار باید ۶۴ گیگ باشه به عرض برسونم که جی ۶ داره و هیچ مشکلی نداره ولی پرچمدار ۶۴ گیگی سامسونگ حدود ۵۰ درصدشون مشکل خرابی هارد دارن. در مورد کسانی که اطلاع ندارن هم به عرض برسونم الجی یکی از بزرگترین تولید کننده های صفحه نمایش تو دنیا هست که حتی صفحه نمایش های ایفون رو هم تولید میکنه و سامسونگ برای اینکه از زیر یوق الجی در بیاد امولد رو ساخت. ,سامسونگ,negative,"['سی پی یو: Neutral', 'سخت افزار مناسب: Positive', 'پرچمدار ۶۴ گیگی سامسونگ: Negative', 'حالت خروجی: Important (neutral)', 'جی ۶: Positive']"
امروز این محصول به دستم رسید در اولین استفاده واقعا احساس خوب و لذت بخشی داشتم کاملا پوست تمیز و شفاف میکنه ,این محصول,positive,"['محصول: Positive', 'پوست: Positive', 'تمیز و شفاف بودن: Positive']"
امروز این پرینتر به دستم رسید وقتی تست کردم واقعا عالی بود و کیفیت چاپ و کپی آن خیلی بالا بود البته نصب آن کمی زمان میبرد اما اگر میخواهید پرینتر بخرید من این پرینتر رو پیشنهاد میکنم ,این پرینتر,positive,"پرینتر: Positive
کیفیت چاپ و کپی: Positive
نصب: Neutral"
امروز این کابل به دستم رسید و بلافاصله امتحانش کردم مشخص شد از فست شارژ ساپورت میکنه خدا را شکر کیفیت ساختش در حد متوسطی هست و در سطحی پایینتر از برندهای anker و aukey که قبلا استفاده کردم قرار داره ولی خوب به قیمتش میارزه ,کیفیت ساختش,neutral,"['کابل: Neutral', 'فست شارژ ساپورت: Positive', 'کیفیت ساختش: Neutral', 'قیمت: Positive']"
